ean,name,full_name,shelf_key,shelf_name,position,source_sheet,image_url,image_local,package_status,notes
5410288302591,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,59,Jarzeniowki_str_2,,fotki/placeholdery/5410288302591.jpg,miniatura_robocza,
5410288302607,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,60,Jarzeniowki_str_2,,fotki/placeholdery/5410288302607.jpg,miniatura_robocza,
4306517626358,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,61,Jarzeniowki_str_2,,fotki/placeholdery/4306517626358.jpg,miniatura_robocza,
8719514378056,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,62,Jarzeniowki_str_2,,fotki/placeholdery/8719514378056.jpg,miniatura_robocza,
8719514378032,Jarzeniowki str 2,,jarzeniowki,Jarzeniówki,63,Jarzeniowki_str_2,,fotki/placeholdery/8719514378032.jpg,miniatura_robocza,
8720169364868,Ledvance,,ledvance,Ledvance,0,Ledvance,,fotki/placeholdery/8720169364868.jpg,miniatura_robocza,
4058075570917,Ledvance,,ledvance,Ledvance,1,Ledvance,https://www.ledvance.com/00_Free_To_Use/13013732/image-thumb__13013732__product_detail/4058075570917_290_SH%20FC%20WIFI%20REMOTE%20CONTROL%20MiPRC.webp,fotki/miniatury/4058075570917.jpg,zweryfikowane_ledvance,
4058075731363,Ledvance,,ledvance,Ledvance,2,Ledvance,https://www.ledvance.com/00_Free_To_Use/13062285/image-thumb__13062285__product_detail/4058075731363_290_SH%20FC%20WIFI%20MOTION%20SENSOR%20MiPRC.webp,fotki/miniatury/4058075731363.jpg,zweryfikowane_ledvance,
4058075730052,Ledvance,,ledvance,Ledvance,3,Ledvance,https://www.ledvance.com/00_Free_To_Use/13062006/image-thumb__13062006__product_detail/4058075730052_290_SH%20FC%20WIFI%20CONTACT%20SENSOR%20MiPRC.webp,fotki/miniatury/4058075730052.jpg,zweryfikowane_ledvance,
4058075537248,Ledvance,,ledvance,Ledvance,4,Ledvance,https://www.ledvance.com/00_Free_To_Use/13055879/image-thumb__13055879__product_details_downloads/4058075537248_255_SH%20FC%20WIFI%20PLUG%20EU%20MiPRC.jpg,fotki/miniatury/4058075537248.jpg,zweryfikowane_ledvance,
